ds,yhat
2025-03-01 01:00:00,1.8776066540266572
2025-03-01 01:30:00,1.9061831095192039
2025-03-01 02:00:00,1.7893026662599583
2025-03-01 02:30:00,1.543985475668908
2025-03-01 03:00:00,1.217672644094702
2025-03-01 03:30:00,0.8770364729523129
2025-03-01 04:00:00,0.5921067345591653
2025-03-01 04:30:00,0.4197001414056172
2025-03-01 05:00:00,0.3902924756773176
2025-03-01 05:30:00,0.5015599249460576
2025-03-01 06:00:00,0.7200814642629375
2025-03-01 06:30:00,0.9905948815160659
2025-03-01 07:00:00,1.2502848821786585
2025-03-01 07:30:00,1.4443493194673604
2025-03-01 08:00:00,1.538852055322519
2025-03-01 08:30:00,1.5276764318552116
2025-03-01 09:00:00,1.4320144992375075
2025-03-01 09:30:00,1.2928238100448957
2025-03-01 10:00:00,1.1585215132472704
